whewell | It is my purpose to write the History of some of the most important of the Physical Sciences, from the earliest to the most recent periods. | Introduction
whewell | Thus, in 1756, Euler calculated the effect of the attractions of the planets on the earth (the prize-question of the French Academy of Sciences), and Clairaut soon after. | Greek Astronomy
whewell | Thus the secular inequalities of the celestial motions, like all the others, confirm the law of universal gravitation. | Greek Astronomy
whewell | And thus, as Laplace observes on this very occasion, the lot of this great discovery of gravitation is no less than this, that every apparent exception becomes a proof, every difficulty a new occasion of a triumph. And such, as he truly adds, is the character of a true theory,--of a real representation of nature. | Greek Astronomy
whewell | The solid establishment of the Newtonian theory is thus shown by the manner in which we take it for granted not only in our reasonings, but in our feelings. | Greek Astronomy
whewell | The admission of an eighth planet into the long-established list, was a notion so foreign to men's thoughts at that time, that other suppositions were first tried. The orbit of the new body was at first calculated as if it had been a comet running in a parabolic path. | Greek Astronomy
whewell | The first of these was discovered on the first day of this century by Piazzi, the astronomer at Palermo; but he had only begun to suspect its nature, and had not completed his third observation, when his labors were suspended by a dangerous illness. | Greek Astronomy
whewell | The second year of the nineteenth century also produced its planet. This was discovered by Dr. Olbers, a physician of Bremen, while he was searching for Ceres among the stars of the constellation Virgo. | Greek Astronomy
whewell | Thus it is impossible that an assertion, false to any amount which the existing state of observation can easily detect, should have any abiding prevalence in astronomy. | Greek Astronomy
whewell | In this favored branch of knowledge, the most recondite and delicate discoveries can no more suffer doubt or contradiction, than the most palpable facts of sense which the face of nature offers to our notice. | Greek Astronomy
whewell | The same scrupulous care and diligence in recording all that has hitherto been ascertained, has been extended to those departments of astronomy in which we have as yet no general principles which serve to bind together our acquired treasures. | Greek Astronomy
whewell | The business of constructing any science may be figured as the task of forming a road on which our reason can travel through a certain province of the external world. | Physical Science in the Middle Ages
whewell | We have to throw a bridge which may lead from the chambers of our own thoughts, from our speculative principles, to the distant shore of material facts. | Physical Science in the Middle Ages
whewell | But in all cases the abyss is too wide to be crossed, except we can find some intermediate points on which the piers of our structure may rest. | Physical Science in the Middle Ages
whewell | Mere facts, without connexion or law, are only the rude stones hewn from the opposite bank, of which our arches may, at some time, be built. | Physical Science in the Middle Ages
whewell | But mere hypothetical mathematical calculations are only plans of projected structures; and those plans which exhibit only one vast and single arch, or which suppose no support but that which our own position supplies, will assuredly never become realities. | Physical Science in the Middle Ages
whewell | We must have a firm basis of intermediate generalizations in order to frame a continuous and stable edifice. | Physical Science in the Middle Ages
whewell | The number of observed laws and relations of the phenomena of sound, is already very great; and though the time may be distant, there seems to be no reason to despair of one day uniting them by clear ideas of mechanical causation. | Physical Science in the Middle Ages
whewell | The historical sketch just given includes only such parts of acoustics as have been in some degree reduced to general laws and physical causes; and thus excludes much that is usually treated of under that head. | Physical Science in the Middle Ages
whewell | These are parts of Theoretical Music, not of Acoustics; of the Philosophy of the Fine Arts, not of Physical Science. | Physical Science in the Middle Ages
whewell | The science of Acoustics may, however, properly consider other differences of sound than those of acute and grave,--for instance, the *articulate* differences, or those by which the various letters are formed. | Physical Science in the Middle Ages
whewell | Some progress has been made in reducing this part of the subject to general rules; for though Kempelen's 'talking machine' was only a work of art, Mr. Willis's machine, which exhibits the relation among the vowels, gives us a law such as forms a step in science. | Physical Science in the Middle Ages
whewell | We may, however, consider this instrument as a *phthongometer*, or measure of vowel quality; and in that point of view we shall have to refer to it again when we come to speak of such measures. | Physical Science in the Middle Ages
whewell | Thus Lavoisier, far more fortunate than most of those who had, in earlier ages, produced revolutions in science, saw his theory accepted by all the most eminent men of his time, and established over a great part of Europe within a few years from its first promulgation. | History of Mechanics
whewell | Lavoisier was thrown into prison on some wretched charge of having, in the discharge of a public office which he had held, adulterated certain tobacco; but in reality, for the purpose of confiscating his property. | History of Mechanics
whewell | The brutish idiot, whom the state of the country at that time had placed in the judgment-seat, told him that the republic wanted no sçavans. | History of Mechanics
whewell | He was dragged to the guillotine, May the 8th, 1794, and beheaded, in the fifty-second year of his age; a melancholy proof that, in periods of political ferocity, innocence and merit, private virtues and public services, amiable manners and the love of friends, literary fame and exalted genius, are all as nothing to protect their possessor from the last extremes of violence and wrong, inflicted under judicial forms. | History of Mechanics
whewell | Such a nomenclature made its way into general use the more easily, in that the want of such a system had already been severely felt; the names in common use being fantastical, arbitrary, and multiplied beyond measure. | History of Mechanics
whewell | The main features of this system are, a selection of the simplest radical words, by which substances are designated, and a systematic distribution of terminations, to express their relations. | History of Mechanics
whewell | In the preface to this volume, he apologizes for the great amount of the changes, and pleads the authority of Bergman, who had exhorted De Morveau 'to spare no improper names; those who are learned will always be learned, and those who are ignorant will thus learn sooner.' | History of Mechanics
whewell | The Lavoisierian theory also, wide as was the range of truth which it embraced, required some limitation and correction. | History of Mechanics
whewell | But the leading generalization of Lavoisier, that acidification was *always* combination with oxygen, was found untenable. | History of Mechanics
whewell | The new theory, after this period, obtained a clear superiority in the minds of philosophical chemists, and was further supported by new analogies. | History of Mechanics
whewell | The general laws of chemical combination announced by Mr. Dalton are truths of the highest importance in the science, and are now nowhere contested; but the view of matter as constituted of *atoms*, which he has employed in conveying those laws, and in expressing his opinion of their cause, is neither so important nor so certain. | History of Mechanics
whewell | This law may be considered as consisting of three parts, according to the above description of it;--that elements combine in *definite* proportions;--that these determining proportions operate *reciprocally*;--and that when, between the same elements, several combining proportions occur, they are related as *multiples*. | History of Mechanics
whewell | He conceived bodies as composed of atoms of their constituent elements, grouped, either one and one, or one and two, or one and three, and so on. | History of Mechanics
whewell | The consideration of bodies as consisting of compound atoms, each of these being composed of elementary atoms, naturally led to this law of multiple proportions. | History of Mechanics
whewell | Mr. Dalton's generalization was first suggested during his examination of olefiant gas and carburetted hydrogen gas; and was asserted generally, on the strength of a few facts, being, as it were, irresistibly recommended by the clearness and simplicity which the notion possessed. | History of Mechanics
whewell | The general doctrine of the atomic theory is now firmly established over the whole of the chemical world. | History of Mechanics
whewell | This law is the *theory of volumes*; namely, that gases unite together *by volume* in very simple and definite proportions. | History of Mechanics
whewell | This was, as Davy says, the true origin of all that has been done in electro-chemical science. | History of Mechanics
whewell | He had already conjectured, in 1802, that all decompositions might be *polar*; that is, that in all cases of chemical decomposition, the elements might be related to each other as electrically *positive* and *negative*; a thought which it was the peculiar glory of his school to confirm and place in a distinct light. | History of Mechanics
whewell | I drew the conclusion, *that the combinations and decompositions by electricity were referrible to the law of electrical attractions and repulsions*, and advanced the hypothesis, *that chemical and electrical attractions were produced by the same cause, acting in the one case on particles, in the other on masses; . . . and that the same property, under different modifications, was the cause of all the phenomena exhibited by different voltaic combinations.* | History of Mechanics
whewell | This was, as he truly said, in the memorandum written in his journal at the instant, 'a capital experiment.' | History of Mechanics
whewell | At this period, there might be noticed three great branches of speculation on this subject; *the theory of the pile*, *the theory of electrical decomposition*, and *the theory of the identity of chemical and electrical forces*; which last doctrine, however, was found to include the other two, as might have been anticipated from the time of its first suggestion. | History of Mechanics
whewell | It is very natural to suppose that the repellent and attractive energies are communicated from one particle to another of the same kind, so as to establish a conducting *chain* in the fluid; and that the locomotion takes place in consequence. | History of Mechanics
whewell | Mr. Faraday, who supplied what was wanting, justly notices this vagueness. | History of Mechanics
whewell | But this general view of the electrolytical process required to be pursued further, in order to explain the nature of the action. | History of Mechanics
whewell | He proved, by experiments upon a great variety of substances, of the most different kinds, that the electro-chemical action is definite in amount according to the measurement of the new instrument. | History of Mechanics
whewell | *They were no other than the atomic weights of the Daltonian theory*, which formed the climax of the previous ascent of chemistry; and thus here, as everywhere in the progress of science, the generalizations of one generation are absorbed in the wider generalizations of the next. | History of Mechanics
whewell | Thus the great principle of the identity of electrical and chemical action was completely established. | History of Mechanics
whewell | We must not omit to repeat here the moral which we wish to draw from all great discoveries, that they depend upon the combination of *exact facts* with *clear ideas*. | History of Mechanics
whewell | This conception of Chemical Affinity as a peculiar influence of force, which, acting in opposite directions, combines and resolves bodies;--which may be liberated and thrown into the form of a voltaic current, and thus be transferred to remote points, and applied in various ways; is essential to the understanding, as it was to the making, of these discoveries. | History of Mechanics
whewell | One grain of water will require for its decomposition as much electricity as would make a powerful flash of lightning. | History of Mechanics
whewell | The class of bodies which are capable of electrical decomposition is limited by a very remarkable law: they are such binary compounds only as consist of *single* proportionals of their elementary principles. | History of Mechanics
whewell | I have such conviction that the power which governs electro-decomposition and ordinary chemical attractions is the same; and such confidence in the overruling influence of those natural laws which render the former definite, as to feel no hesitation in believing that the latter must submit to them too. | History of Mechanics
whewell | The epoch of establishment of the electro-chemical theory, like other great scientific epochs, must have its sequel, the period of its reception and confirmation, application and extension. | History of Mechanics
whewell | Our history of chemistry is, therefore, here at an end. I have, as far as I could, executed my task; which was, to mark all the great steps of its advance, from the most unconnected facts and the most imperfect speculations, to the highest generalization at which chemical philosophers have yet arrived. | History of Mechanics
whewell | We see that life is accompanied and sustained by many processes, which at first offer themselves to our notice as separate functions, however they may afterwards be found to be connected and identified; such are feeling, digestion, respiration, the action of the heart and pulse, generation, perception, voluntary motion. | Physical Astronomy
whewell | The analysis of any one of these functions may be pursued separately. And since in this, as in all genuine sciences, our knowledge becomes real and scientific, only in so far as it is verified in particular facts, and thus established in general propositions, such an original separation of the subjects of research is requisite to a true representation of the growth of real knowledge. | Physical Astronomy
whewell | The loose hypotheses and systems, concerning the connexion of different vital faculties and the general nature of living things, which have often been promulgated, must be excluded from this part of our plan. | Physical Astronomy
whewell | We do not deny all value and merit to such speculations; but they cannot be admitted in the earlier stages of the history of physiology, treated of as an inductive science. | Physical Astronomy
whewell | If the doctrine so propounded have a solid and permanent truth, they will again come before us when we have travelled through the range of more limited truths, and are prepared to ascend with security and certainty into the higher region of general physiological principles. | Physical Astronomy
whewell | If they cannot be arrived at by such a road, they are then, however plausible and pleasing, no portion of that real and progressive science with which alone our history is concerned. | Physical Astronomy
whewell | We proceed, therefore, to trace the establishment of some of the more limited but certain doctrines of physiology. | Physical Astronomy
whewell | IN the earliest conceptions which men entertained of their power of moving their own members, they probably had no thought of any mechanism or organization by which this was effected. | Physical Astronomy
whewell | The foot and the hand, no less than the head, were seen to be endowed with life; and this pervading life seemed sufficiently to explain the power of motion in each part of the frame, without its being held necessary to seek out a special seat of the will, or instruments by which its impulses were made effective. | Physical Astronomy
whewell | But the slightest inspection of dissected animals showed that their limbs were formed of a curious and complex collection of cordage, and communications of various kinds, running along and connecting the bones of the skeleton. | Physical Astronomy
whewell | These cords and communications we now distinguish as muscles, nerves, veins, arteries, &c.; and among these, we assign to the muscles the office of moving the parts to which they are attached, as cords move the parts of a machine. | Physical Astronomy
whewell | Though this action of the muscles on the bones may now appear very obvious, it was, probably, not at first discerned. | Physical Astronomy
whewell | It is observed that Homer, who describes the wounds which are inflicted in his battles with so much apparent anatomical precision, nowhere employs the word _muscle_. | Physical Astronomy
whewell | And even Hippocrates of Cos, the most celebrated physician of antiquity, is held to have had no distinct conception of such an organ. | Physical Astronomy
whewell | He always employs the word _flesh_ when he means _muscle_, and the first explanation of the latter word (μῦς) occurs in a spurious work ascribed to him. | Physical Astronomy
whewell | For nerves, sinews, ligaments, he used indiscriminately the same terms; (τόνος or νεῦρον;) and of these nerves (νεῦρα) he asserts that they contract the limbs. | Physical Astronomy
whewell | Nor do we find much more distinctness on this subject even in Aristotle, a generation or two later. | Physical Astronomy
whewell | "The origin of the νεῦρα," he says, "is from the heart; they connect the bones, and surround the joints." | Physical Astronomy
whewell | It is clear that he means here the muscles, and therefore it is with injustice that he has been accused of the gross error of deriving the nerves from the heart. | Physical Astronomy
whewell | And he is held to have really had the merit of discovering the nerves of sensation, which he calls the "canals of the brain" (πόροι τοῦ ἐγκεφάλου); but the analysis of the mechanism of motion is left by him almost untouched. | Physical Astronomy
whewell | Perhaps his want of sound mechanical notions, and his constant straining after verbal generalities, and systematic classifications of the widest kind, supply the true account of his thus missing the solution of one of the simplest problems of Anatomy. | Physical Astronomy
whewell | In this, however, as in other subjects, his immediate predecessors were far from remedying the deficiencies of his doctrines. | Physical Astronomy
whewell | Those who professed to study physiology and medicine were, for the most part, studious only to frame some general system of abstract principles, which might give an appearance of connexion and profundity to their tenets. | Physical Astronomy
whewell | In this manner the successors of Hippocrates became a medical school, of great note in its day, designated as the _Dogmatic_ school; in opposition to which arose an _Empiric_ sect, who professed to deduce their modes of cure, not from theoretical dogmas, but from experience. | Physical Astronomy
whewell | These rival parties prevailed principally in Asia Minor and Egypt, during the time of Alexander's successors,--a period rich in names, but poor in discoveries; and we find no clear evidence of any decided advance in anatomy, such as we are here attempting to trace. | Physical Astronomy
whewell | The victories of Lucullus and Pompeius, in Greece and Asia, made the Romans acquainted with the Greek philosophy; and the consequence soon was, that shoals of philosophers, rhetoricians, poets, and physicians streamed from Greece, Asia Minor, and Egypt, to Rome and Italy, to traffic their knowledge and their arts for Roman wealth. | Physical Astronomy
whewell | Among these, was one person whose name makes a great figure in the history of medicine, Asclepiades of Prusa in Bithynia. | Physical Astronomy
whewell | This man appears to have been a quack, with the usual endowments of his class;--boldness, singularity, a contemptuous rejection of all previously esteemed opinions, a new classification of diseases, a new list of medicines, and the assertion of some wonderful cures. | Physical Astronomy
whewell | He would not, on such accounts, deserve a place in the history of science, but that he became the founder of a new school, the _Methodic_, which professed to hold itself separate both from the Dogmatics and the Empirics. | Physical Astronomy
whewell | I have noticed these schools of medicine, because, though I am not able to state distinctly their respective merits in the cultivation of anatomy, a great progress in that science was undoubtedly made during their domination, of which the praise must, I conceive, be in some way divided among them. | Physical Astronomy
whewell | The amount of this progress we are able to estimate, when we come to the works of Galen, who flourished under the Antonines, and died about A.D. 203. | Physical Astronomy
whewell | The following passage from his works will show that this progress in knowledge was not made without the usual condition of laborious and careful experiment, while it implies the curious fact of such experiment being conducted by means of family tradition and instruction, so as to give rise to a _caste_ of dissectors. | Physical Astronomy
whewell | In the opening of his Second Book _On Anatomical Manipulations_, he speaks thus of his predecessors: "I do not blame the ancients, who did not write books on anatomical manipulation; though I praise Marinus, who did. For it was superfluous for them to compose such records for themselves or others, while they were, from their childhood, exercised by their parents in dissecting, just as familiarly as in writing and reading; so that there was no more fear of their forgetting their anatomy, than of forgetting their alphabet." | Physical Astronomy
whewell | But when grown men, as well as children, were taught, this thorough discipline fell off; and, the art being carried out of the family of the Asclepiads, and declining by repeated transmission, books became necessary for the student. | Physical Astronomy
whewell | That the general structure of the animal frame, as composed of bones and muscles, was known with great accuracy before the time of Galen, is manifest from the nature of the mistakes and deficiencies of his predecessors which he finds it necessary to notice. | Physical Astronomy
whewell | Thus he observes, that some anatomists have made one muscle into two, from its having two heads;--that they have overlooked some of the muscles in the face of an ape, in consequence of not skinning the animal with their own hands;--and the like. | Physical Astronomy
whewell | Such remarks imply that the current knowledge of this kind was tolerably complete. | Physical Astronomy
whewell | Galen's own views of the general mechanical structure of an animal are very clear and sound. The skeleton, he observes, discharges the office of the pole of a tent, or the walls of a house. | Physical Astronomy
whewell | With respect to the action of the muscles, his views were anatomically and mechanically correct; in some instances, he showed what this action was, by severing the muscle. | Physical Astronomy
whewell | He himself added considerably to the existing knowledge of this subject; and his discoveries and descriptions, even of very minute parts of the muscular system, are spoken of with praise by modern anatomists. | Physical Astronomy
whewell | We may consider, therefore, that the doctrine of the muscular system, as a collection of cords and sheets, by the contraction of which the parts of the body are moved and supported, was firmly established, and completely followed into detail, by Galen and his predecessors. | Physical Astronomy
whewell | But there is another class of organs connected with voluntary motion, the nerves, and we must for a moment trace the opinions which prevailed respecting these. | Physical Astronomy
whewell | Aristotle, as we have said, noticed some of the nerves of sensation. But Herophilus, who lived in Egypt in the time of the first Ptolemy, distinguished nerves as the organs of the will, and Rufus, who lived in the time of Trajan, divides the nerves into sensitive and motive, and derives them all from the brain. | Physical Astronomy
whewell | But this did not imply that men had yet distinguished the nerves from the muscles. Even Galen maintained that every muscle consists of a bundle of nerves and sinews. | Physical Astronomy
whewell | But the important points, the necessity of the nerve, and the origination of all this apparatus of motion from the brain, he insists upon with great clearness and force. | Physical Astronomy
whewell | Thus he proved the necessity experimentally, by cutting through some of the bundles of nerves, and thus preventing the corresponding motions. | Physical Astronomy
whewell | And it is, he says, allowed by all, both physicians and philosophers, that where the origin of the nerve is, there the seat of the soul (ἡγημονικὸν τῆς ψυχῆς) must be: now this, he adds, is in the brain, and not in the heart. | Physical Astronomy
whewell | Thus the general construction and arrangement of the organization by which voluntary motion is effected, was well made out at the time of Galen, and is found distinctly delivered in his works. | Physical Astronomy
whewell | We cannot, perhaps, justly ascribe any large portion of the general discovery to him: indeed, the conception of the mechanism of the skeleton and muscles was probably so gradually unfolded in the minds of anatomical students, that it would be difficult, even if we knew the labors of each person, to select one, as peculiarly the author of the discovery. | Physical Astronomy
whewell | But it is clear that all those who did materially contribute to the establishment of this doctrine, must have possessed the qualifications which we find in Galen for such a task; namely, clear mechanical views of what the tensions of collections of strings could do, and an exact practical acquaintance with the muscular cordage which exists in the animal frame;--in short, in this as in other instances of real advance in science, there must have been clear ideas and real facts, unity of thought and extent of observation, brought into contact. | Physical Astronomy
whewell | The discovery of the Sivatherium supplies no particle of proof to the hypothesis, that the existing species of animals are descended from extinct creatures which are specifically distinct | Additions to the Third Edition
whewell | we cannot act more wisely than in listening to the advice of that eminent naturalist, M. de Blainville. "Against this hypothesis, which, up to the present time, I regard as purely gratuitous, and likely to turn geologists out of the sound and excellent road in which they now are, I willingly raise my voice, with the most absolute conviction of being in the right." | Additions to the Third Edition
whewell | All the best physiologists agree in declaring that such an extraordinary developement of the embryo is inconsistent with physiological possibility. | Additions to the Third Edition
whewell | All palætiological sciences, all speculations which attempt to ascend from the present to the remote past, by the chain of causation, do also, by an inevitable consequence, urge us to look for the beginning of the state of things which we thus contemplate | Additions to the Third Edition
whewell | in none of these cases have men been able, by the aid of science, to arrive at a beginning which is homogeneous with the known course of events. | Additions to the Third Edition
whewell | When our thoughts would apprehend steadily the creation of things, we find that we are obliged to summon up other ideas than those which regulate the pursuit of scientific truths;--to call in other powers than those to which we refer natural events | Additions to the Third Edition
whewell | Geology, forming one of the palætiological class of sciences, which trace back the history of the earth and its inhabitants on philosophical grounds, is thus associated with a number of other kinds of research | Additions to the Third Edition
whewell | Our geological dynamics, like our astronomical dynamics, may be inadequate to carry us back to an origin of that state of things, of which it explains the progress: but this deficiency must be supplied, not by adding supernatural to natural geological dynamics, but by accepting, in their proper place, the views supplied by a portion of knowledge of a different character and order. | Additions to the Third Edition
whewell | If we include in our Theology the speculations to which we have recourse for this purpose, we must exclude from them our Geology. | Additions to the Third Edition
whewell | The two sciences may conspire, not by having any part in common: but because, though widely diverse in their lines, both point to a mysterious and invisible origin of the world. | Additions to the Third Edition
whewell | He who believes that a Providence has ruled the affairs of mankind, will also believe that a Providence has governed the material world. | Additions to the Third Edition
whewell | All truths must be consistent with all other truths, and that therefore the results of true geology or astronomy cannot be irreconcileable with the statements of true theology. | Additions to the Third Edition
whewell | it by no means follows that we must be able to obtain a full insight into the nature and manner of such a consistency. | Additions to the Third Edition
whewell | One of the advantages of the study of the history and nature of science in which we are now engaged is, that it warns us of the hopeless and presumptuous character of such attempts to understand the government of the world by the aid of science, without throwing any discredit upon the reality of our knowledge | Additions to the Third Edition
whewell | it shows how solid and certain each science is, so long as it refers its own facts to its own ideas, it confines each science within its own limits, and condemns it as empty and helpless, when it pronounces upon those subjects which are extraneous to it. | Additions to the Third Edition
whewell | The error of persons who should seek a geological narrative in theological records, would be rather in the search itself than in their interpretation of what they might find | Additions to the Third Edition
whewell | geology and astronomy are, of themselves, incapable of giving us any distinct and satisfactory account of the origin of the universe, or of its parts. | Additions to the Third Edition
whewell | That they were, like our own animal and vegetable contemporaries, profoundly adapted to the condition in which they were placed, we have ample reason to believe; but when we inquire whence they came into this our world, geology is silent. | Additions to the Third Edition
whewell | The mystery of creation is not within the range of her legitimate territory; she says nothing, but she points upwards. | Additions to the Third Edition
whewell | The bare conviction that a creation of species has taken place, whether once or many times, so long as it is unconnected with our organical sciences, is a tenet of Natural Theology rather than of Physical Philosophy. | Additions to the Third Edition
whewell | The extent, therefore, to which natural causes may account for the extinction of species, will depend upon the amount of change which we suppose in the physical conditions of the earth. | Additions to the Third Edition
whewell | in the mean time, for the mode in which new species come into the places of those which are extinguished, we have (as we have seen) no hypothesis which physiology can, for a moment, sanction. | Additions to the Third Edition
